"","CBA_001","CBA_002","CBA_004","CBA_005","CBA_007","CBA_008"
"AKAP9",1472,1423,2371,1718,2671,2578
"AKIP1",751,577,1042,853,954,583
"AKIRIN1",385,369,335,314,406,226
"AKIRIN2",274,262,287,267,403,242
"AKNA",5,3,2,4,5,7
"AKNAD1",21,16,13,16,31,7
"AKR1A1",567,473,1111,803,896,619
"AKR1B1",2861,2271,2708,2672,2836,1757
"AKR1B10",43,18,160,82,45,99
"AKR1B15",1,0,6,2,0,2
"AKR1C1",34,45,11,27,30,12
"AKR1C2",3,4,2,8,0,2
"AKR1C3",40,23,127,48,49,145
"AKR1C4",1,0,0,0,0,0
"AKR1C6P",0,0,0,0,0,0
"AKR1CL1",0,0,0,0,0,0
"AKR1D1",0,0,0,0,0,0
"AKR1E2",0,0,0,0,0,1
"AKR7A2",419,369,737,522,543,372
"AKR7A2P1",1,0,0,0,0,0
"AKR7A3",0,0,0,0,0,1
"AKR7L",1,2,4,0,0,2
"AKT1",289,209,363,268,375,203
"AKT1S1",39,35,44,33,50,28
"AKT2",17,13,24,23,29,19
"AKT3",239,258,206,265,319,193
"AKTIP",269,244,324,371,371,258
"AL022344.4",0,0,0,0,0,0
"AL022476.2",6,4,14,7,8,12
"AL109763.2",0,0,0,0,0,0
"AL121656.5",0,0,1,0,0,1
"AL132709.5",69,56,28,69,50,39
"AL592528.1",0,0,0,0,0,0
"ALAD",33,30,55,35,38,35
"ALAS1",218,157,169,167,213,125
"ALAS2",0,0,0,0,0,0
"ALB",1,0,0,0,0,0
"ALCAM",4039,2861,2494,4359,3930,1921
"ALDH16A1",3,7,10,8,8,7
"ALDH18A1",315,181,384,378,431,190
"ALDH1A1",23,9,32,9,30,107
"ALDH1A2",0,1,0,1,0,0
"ALDH1A3",28,28,31,30,20,2
"ALDH1B1",118,74,124,93,146,54
"ALDH1L1",0,0,0,0,0,0
"ALDH1L1-AS1",0,0,0,0,0,0
"ALDH1L1-AS2",1,0,0,0,0,0
"ALDH1L2",24,20,8,8,29,18
"ALDH2",76,59,96,71,117,57
"ALDH3A1",1,0,2,2,2,1
"ALDH3A2",349,243,556,323,442,455
"ALDH3B1",24,24,36,13,28,18
"ALDH3B2",0,1,0,0,0,1
"ALDH4A1",32,20,38,22,38,14
"ALDH5A1",10,2,1,3,5,8
"ALDH6A1",48,51,86,52,62,57
"ALDH7A1",267,175,504,244,359,298
"ALDH8A1",1,0,2,1,1,5
"ALDH9A1",258,205,336,266,321,166
"ALDOA",5029,3969,8540,5902,7679,4373
"ALDOB",1,0,0,1,0,0
"ALDOC",104,114,352,166,198,250
"ALG1",224,175,220,211,242,105
"ALG10",84,66,94,86,115,84
"ALG10B",95,64,93,54,74,101
"ALG11",607,409,549,723,759,599
"ALG12",48,43,80,42,48,31
"ALG13",1122,903,992,1744,1424,860
"ALG14",498,456,601,777,647,683
"ALG1L",1,2,5,4,7,3
"ALG1L2",1,0,0,0,0,0
"ALG1L9P",1,1,0,2,1,2
"ALG2",374,328,433,334,491,296
"ALG3",506,411,730,559,698,426
"ALG5",3068,2335,3429,3915,3347,3406
"ALG6",890,604,1222,1223,1303,1231
"ALG8",2007,1456,1766,2312,2332,1798
"ALG9",294,196,260,229,247,150
"ALK",3,5,1,2,0,3
"ALKBH1",119,108,89,90,94,102
"ALKBH2",153,129,188,164,197,130
"ALKBH3",231,244,367,392,376,248
"ALKBH3-AS1",0,0,0,0,0,3
"ALKBH4",55,54,99,56,55,33
"ALKBH5",239,149,305,297,258,199
"ALKBH6",219,162,315,301,252,200
"ALKBH7",186,201,341,289,314,217
"ALKBH8",79,77,75,70,117,81
"ALLC",0,0,0,0,0,0
"ALMS1",77,66,141,128,143,85
"ALMS1-IT1",2,1,4,2,1,4
"ALMS1P",0,0,0,0,0,0
"ALOX12",0,0,1,0,0,0
"ALOX12B",0,0,0,0,0,0
"ALOX12P2",0,0,0,0,0,0
"ALOX15",0,0,0,0,0,0
"ALOX15B",0,1,0,0,0,0
"ALOX15P1",0,0,0,0,0,0
"ALOX5",0,0,0,0,0,0
"ALOX5AP",3,1,9,1,3,16
"ALOXE3",0,1,4,0,0,0
"ALPI",0,0,0,0,0,0
"ALPK1",46,11,47,34,43,26
"ALPK2",12,15,33,40,52,11
"ALPK3",1,0,0,0,0,2
"ALPL",0,0,0,0,0,1
"ALPP",0,0,0,0,0,0
"ALPPL2",0,0,0,0,0,0
"ALS2",153,99,175,147,222,142
"ALS2CL",0,0,0,2,0,2
"ALS2CR11",5,2,0,2,0,2
"ALS2CR12",0,2,3,1,1,3
"ALX1",0,0,0,0,0,0
"ALX3",1,0,0,0,0,0
"ALX4",0,0,0,0,0,0
"ALYREF",292,261,412,324,370,194
"AMACR",95,73,106,76,89,69
"AMBN",0,0,0,0,0,0
"AMBP",0,0,2,0,0,4
"AMBRA1",14,12,9,7,7,12
"AMD1",1928,1671,1955,2521,2588,1698
"AMDHD1",1,9,1,6,2,2
"AMDHD2",8,20,10,6,13,14
"AMELX",10,20,40,4,16,31
"AMELY",0,0,0,0,0,0
"AMER1",12,4,3,5,11,6
"AMER2",6,0,0,0,0,0
"AMER3",0,0,0,1,0,0
"AMFR",131,74,128,117,109,78
"AMH",0,4,1,0,3,0
"AMHR2",0,0,0,0,0,1
"AMICA1",0,0,0,0,0,0
"AMIGO1",1,5,1,0,1,0
"AMIGO2",180,122,374,208,313,464
"AMIGO3",3,4,10,1,6,5
"AMMECR1",328,259,234,254,260,188
"AMMECR1L",40,26,24,35,52,28
"AMN",0,0,0,0,0,0
"AMN1",247,193,347,288,276,312
"AMOT",50,25,85,66,67,83
"AMOTL1",98,63,91,142,122,74
"AMOTL2",265,304,215,341,373,122
"AMPD1",0,0,0,0,0,0
"AMPD2",33,47,76,42,55,31
"AMPD3",2,2,1,7,5,0
"AMPH",1,2,3,0,0,0
"AMT",8,4,9,2,4,5
"AMTN",0,0,0,0,0,0
"AMY1A",0,0,0,0,0,0
"AMY1B",0,0,0,0,0,0
"AMY1C",0,0,0,0,0,0
"AMY2A",0,0,0,0,0,0
"AMY2B",12,16,6,7,7,11
"AMZ1",2,0,0,3,3,0
"AMZ2",1017,952,1565,1632,1567,1154
"AMZ2P1",181,156,234,268,229,207
"ANAPC1",97,55,97,66,138,79
"ANAPC10",570,365,600,692,631,598
"ANAPC11",1986,1870,2929,3218,2916,1946
"ANAPC13",3498,2771,3851,4439,3784,3460
"ANAPC15",583,599,789,913,979,519
"ANAPC16",1514,1240,2273,2114,2253,1817
"ANAPC1P1",0,0,0,0,0,0
"ANAPC2",1,6,6,0,5,1
"ANAPC4",374,270,388,442,530,325
"ANAPC5",451,385,656,394,702,328
"ANAPC7",248,204,298,230,306,189
"ANG",10,13,25,20,23,29
"ANGEL1",13,8,19,7,4,7
"ANGEL2",308,285,327,293,382,249
"ANGPT1",214,148,322,208,283,554
"ANGPT2",31,16,26,8,7,14
"ANGPT4",0,0,0,0,0,0
"ANGPTL1",5,8,1,3,7,4
"ANGPTL2",62,68,34,59,51,34
"ANGPTL3",6,0,0,1,1,4
"ANGPTL4",3,0,0,3,2,2
"ANGPTL5",0,0,0,1,0,0
"ANGPTL6",69,31,24,23,33,28
"ANGPTL7",1,0,0,0,0,0
"ANHX",0,0,0,0,0,0
"ANK1",44,18,32,46,28,16
"ANK2",17,6,57,20,10,28
"ANK3",6,6,4,1,1,9
"ANKAR",34,32,17,45,26,17
"ANKDD1A",4,2,2,5,3,5
"ANKDD1B",1,1,0,3,0,0
"ANKEF1",123,77,133,113,107,62
"ANKFN1",0,0,0,0,0,0
"ANKFY1",264,200,158,141,204,185
"ANKH",18,14,43,23,44,26
"ANKHD1",208,171,222,177,218,156
"ANKHD1-EIF4EBP3",34,13,71,20,36,32
"ANKIB1",725,552,463,574,650,471
"ANKK1",0,0,0,0,0,0
"ANKLE1",0,0,0,0,1,1
"ANKLE2",174,167,266,199,276,143
"ANKMY1",4,3,3,7,5,3
"ANKMY2",1367,972,1451,1180,1488,1126
"ANKRA2",96,109,144,88,89,112
"ANKRD1",0,4,4,2,2,2
"ANKRD10",833,835,774,673,676,664
"ANKRD11",89,88,184,130,214,95
"ANKRD12",971,1110,1210,933,1051,1029
"ANKRD13A",217,189,195,244,314,135
"ANKRD13B",4,10,3,4,7,5
"ANKRD13C",282,244,309,356,354,293
"ANKRD13D",19,20,30,26,31,17
"ANKRD16",10,9,15,10,17,11
"ANKRD17",267,215,308,318,313,251
"ANKRD18A",0,0,0,1,0,0
"ANKRD18B",0,0,0,0,0,0
"ANKRD18CP",0,0,0,0,0,0
"ANKRD18DP",2,1,1,1,1,1
"ANKRD19P",6,3,10,7,4,5
"ANKRD2",0,0,0,0,0,2
"ANKRD20A1",0,0,0,1,0,0
"ANKRD20A11P",0,0,0,0,0,0
"ANKRD20A12P",0,0,2,0,0,0
"ANKRD20A19P",0,1,0,0,0,1
"ANKRD20A2",3,1,0,0,0,0
"ANKRD20A3",0,0,0,0,0,0
"ANKRD20A4",2,0,0,1,0,0
"ANKRD20A5P",2,0,1,0,0,1
"ANKRD20A8P",0,0,0,0,0,0
"ANKRD20A9P",8,11,2,2,0,12
"ANKRD22",2,2,8,5,1,3
"ANKRD23",2,0,0,1,1,1
"ANKRD24",0,0,1,0,0,2
"ANKRD26",267,262,347,265,321,284
"ANKRD26P1",3,0,0,0,0,0
"ANKRD26P3",4,0,0,0,1,0
"ANKRD27",123,95,154,137,172,87
"ANKRD28",523,383,695,609,704,768
"ANKRD29",80,90,46,61,90,38
"ANKRD30A",0,0,0,1,0,0
"ANKRD30B",249,217,148,260,225,188
"ANKRD30BL",0,0,0,0,0,0
"ANKRD30BP2",0,0,0,0,0,0
"ANKRD30BP3",0,0,0,0,0,0
"ANKRD31",3,1,0,1,2,0
"ANKRD32",333,290,256,268,332,216
"ANKRD33",0,0,0,0,0,0
"ANKRD33B",49,58,12,56,68,13
"ANKRD34A",5,8,2,6,7,4
"ANKRD34B",0,0,0,0,0,0
"ANKRD34C",0,0,0,0,0,0
"ANKRD35",93,96,218,157,152,130
"ANKRD36",330,252,340,345,376,248
"ANKRD36B",278,300,317,301,299,329
"ANKRD36BP1",8,3,4,5,8,9
"ANKRD36BP2",0,0,2,0,0,0
"ANKRD36C",318,380,380,384,438,297
"ANKRD37",37,24,47,34,52,61
"ANKRD39",197,166,182,222,237,161
"ANKRD40",298,234,219,301,259,181
"ANKRD42",51,34,55,58,63,54
"ANKRD44",85,54,77,80,101,70
"ANKRD44-IT1",0,0,1,0,1,1
"ANKRD45",36,24,9,14,24,26
"ANKRD46",136,99,131,104,161,92
"ANKRD49",290,257,236,296,229,288
"ANKRD50",288,270,410,430,443,292
"ANKRD52",7,4,15,13,15,6
"ANKRD53",0,1,2,0,0,0
"ANKRD54",67,32,123,44,73,45
"ANKRD55",1,0,0,1,0,0
"ANKRD6",25,20,29,28,21,24
"ANKRD60",1,0,0,0,0,0
"ANKRD61",5,4,3,9,4,7
"ANKRD62",0,4,0,0,0,0
"ANKRD62P1-PARP4P3",0,0,0,0,0,0
"ANKRD63",0,0,0,0,0,0
"ANKRD65",0,1,0,0,0,0
"ANKRD66",0,0,0,0,0,0
"ANKRD7",32,16,49,63,62,32
"ANKRD9",66,55,88,51,83,63
"ANKS1A",37,37,46,35,30,31
"ANKS1B",19,23,42,18,22,15
"ANKS3",7,8,7,8,17,7
"ANKS4B",0,1,1,0,1,0
"ANKS6",26,18,29,22,50,10
"ANKUB1",0,0,4,1,3,1
"ANKZF1",17,29,37,23,30,11
"ANLN",4207,2082,4660,3582,4453,2478
"ANO1",0,1,0,0,0,1
"ANO1-AS2",0,0,0,0,0,0
"ANO10",356,319,394,307,474,226
"ANO2",1,1,0,1,0,0
"ANO3",4,0,1,0,0,0
"ANO4",1,3,0,1,0,0
"ANO5",0,2,0,0,0,1
"ANO6",285,267,313,319,402,251
"ANO7",0,1,0,3,9,0
"ANO8",5,7,9,2,8,5
"ANO9",0,0,0,0,0,0
"ANP32A",361,311,507,498,563,320
"ANP32A-IT1",0,6,2,1,3,2
"ANP32AP1",0,1,0,0,0,0
"ANP32B",1274,1254,1367,1252,1452,892
"ANP32C",0,0,0,1,0,0
"ANP32D",0,0,0,0,0,0
"ANP32E",1658,1171,2635,2087,2484,1793
"ANPEP",0,0,0,0,0,0
"ANTXR1",195,186,274,249,275,246
"ANTXR2",830,515,710,648,825,410
"ANTXRL",0,0,0,0,0,0
"ANTXRLP1",0,1,0,0,0,0
"ANXA1",49524,39393,36081,55488,47998,30592
"ANXA10",0,2,0,0,0,0
"ANXA11",351,230,425,263,336,200
"ANXA13",14,7,9,8,7,5
"ANXA2",54104,42891,51528,68446,94696,32380
"ANXA2P1",9,3,8,7,2,2
"ANXA2P3",0,0,2,0,0,1
"ANXA2R",114,119,110,49,101,105
"ANXA3",0,0,1,1,0,0
"ANXA4",1864,1343,2055,1602,2274,1597
"ANXA5",7805,7047,9120,8247,12197,5846
"ANXA6",62,29,46,31,46,33
"ANXA7",2262,1426,2383,1987,2434,1382
"ANXA8",0,0,0,0,0,0
"ANXA8L1",0,0,0,0,0,0
"ANXA9",0,0,1,0,0,0
"AOAH",4,3,3,1,4,15
"AOAH-IT1",0,0,0,0,0,0
"AOC1",0,2,0,0,0,0
"AOC2",0,0,1,0,0,0
"AOC3",0,0,0,0,0,0
"AOC4P",0,0,0,0,0,0
"AOX1",55,88,27,54,44,18
"AOX2P",0,0,0,0,0,0
"AP000289.6",0,0,0,0,0,0
"AP000330.8",16,11,20,9,15,18
"AP000345.1",0,0,0,0,0,0
"AP000469.2",0,0,0,0,0,0
"AP000472.2",0,0,0,0,0,0
"AP000475.2",0,0,0,0,0,0
"AP000479.1",0,0,0,0,0,0
"AP000688.14",214,152,238,179,181,98
"AP000688.8",1,0,0,0,0,3
"AP001258.4",60,53,59,25,48,35
"AP003025.2",1,0,0,0,0,0
"AP1AR",337,271,239,304,306,158
"AP1B1",65,49,78,72,64,60
"AP1B1P1",0,0,0,0,0,0
"AP1G1",122,93,191,156,209,158
"AP1G2",16,13,26,21,12,7
"AP1M1",292,183,313,166,291,102
"AP1M2",2,4,2,13,10,2
"AP1S1",175,184,162,208,230,160
"AP1S2",6484,5037,8440,8160,9201,4999
"AP1S3",104,64,58,67,72,41
"AP2A1",18,18,24,31,25,33
"AP2A2",32,36,41,42,45,15
"AP2B1",437,265,396,360,572,293
"AP2M1",2221,1994,3481,2168,3262,1558
"AP2S1",1948,1574,2038,2428,2077,1928
"AP3B1",503,274,558,438,593,340
"AP3B2",1,0,1,2,0,1
"AP3D1",136,149,190,163,211,88
"AP3M1",849,535,887,842,1089,750
"AP3M2",364,283,237,214,313,237
"AP3S1",2330,1853,1959,3193,2763,1929
"AP3S2",582,400,735,559,728,500
"AP4B1",229,184,330,247,314,208
"AP4B1-AS1",26,17,22,19,30,25
"AP4E1",50,66,66,69,86,58
"AP4M1",107,71,161,112,143,83
"AP4S1",154,118,143,123,151,109
"AP5B1",3,8,3,17,9,7
"AP5M1",558,481,588,599,605,510
"AP5S1",152,133,221,147,146,108
"AP5Z1",23,24,15,18,23,7
"APAF1",47,34,65,27,68,32
"APBA1",0,3,0,0,2,0
"APBA2",6,5,4,3,10,6
"APBA3",12,11,20,9,20,12
"APBB1",34,36,43,23,28,21
"APBB1IP",0,0,0,0,0,0
"APBB2",136,120,139,141,175,100
"APBB3",4,3,9,9,6,7
"APC",265,248,259,313,318,192
"APC2",0,0,0,0,1,0
"APCDD1",179,87,253,174,148,127
"APCDD1L",16,21,19,22,16,10
"APCDD1L-AS1",123,127,117,160,102,89
"APCS",0,0,0,0,0,0
"APEH",112,87,197,105,153,83
"APELA",0,0,0,0,0,1
"APEX1",1719,1420,2099,2020,2443,1317
"APEX2",202,191,267,171,278,103
"APH1A",136,83,96,116,99,79
"APH1B",294,182,280,282,270,276
"API5",1543,1006,1499,1504,1959,1020
"APIP",2107,1522,2239,2722,2442,1763
"APITD1",581,478,904,737,670,622
"APITD1-CORT",37,30,55,33,31,22
"APLF",84,58,107,73,83,61
"APLN",5,2,2,1,0,2
"APLNR",0,0,0,0,0,1
"APLP1",49,37,72,37,39,51
"APLP2",1163,737,1357,946,1251,821
"APMAP",1231,822,1513,958,1557,634
"APOA1",0,9,6,4,3,11
"APOA1BP",1054,940,1559,1464,1493,965
"APOA2",0,1,0,0,0,0
"APOA4",0,0,1,0,0,0
"APOA5",0,0,0,0,0,0
"APOB",3,0,0,0,1,1
"APOBEC1",0,0,0,0,0,0
"APOBEC2",4,1,1,0,0,0
"APOBEC3A",0,1,0,0,0,0
"APOBEC3B",561,271,643,352,398,363
"APOBEC3B-AS1",6,3,6,3,1,4
"APOBEC3C",1086,863,1174,866,1148,769
"APOBEC3D",2,1,0,0,0,2
"APOBEC3F",200,167,62,52,89,71
"APOBEC3G",275,139,53,24,80,94
"APOBEC3H",0,0,0,0,0,0
"APOBEC4",0,0,1,0,1,1
"APOBR",0,0,0,0,0,0
"APOC1",72,53,81,71,46,179
"APOC1P1",0,0,1,0,0,1
"APOC2",0,0,0,0,0,1
"APOC3",0,0,0,2,0,0
"APOC4",0,0,0,0,0,0
"APOC4-APOC2",0,0,0,0,0,0
"APOD",0,0,0,0,0,0
"APOE",20,35,216,53,59,506
"APOF",1,1,0,0,0,0
"APOH",0,0,0,0,0,0
"APOL1",13,5,0,1,1,4
"APOL2",171,127,33,37,91,38
"APOL3",76,57,11,8,19,15
"APOL4",2,5,2,0,0,22
"APOL5",0,0,0,0,0,0
"APOL6",2294,2043,386,467,1046,724
"APOLD1",30,8,52,24,23,45
"APOM",50,33,91,81,51,88
"APOO",1209,841,1429,1781,1531,1160
"APOOL",302,286,315,411,371,275
"APOOP5",1,2,2,0,1,0
"APOPT1",1084,1012,1316,1645,1563,796
"APP",124,83,170,98,136,140
"APPBP2",209,169,285,226,224,238
"APPL1",488,392,688,632,792,461
"APPL2",119,67,159,116,137,112
"APRT",543,523,865,958,937,537
"APTX",737,642,939,959,898,652
"AQP1",3,1,0,1,0,3
"AQP10",0,1,0,0,0,0
"AQP11",76,102,105,85,84,44
"AQP12A",0,0,0,0,0,0
"AQP12B",0,0,0,0,0,0
"AQP2",0,0,0,0,0,1
"AQP3",1,0,0,0,0,0
"AQP4",0,0,0,0,0,1
"AQP4-AS1",0,0,0,0,0,0
"AQP5",0,0,0,0,0,0
"AQP6",2,0,0,0,2,1
"AQP7",0,0,0,0,0,0
"AQP7P1",6,5,1,0,5,4
"AQP7P3",6,7,8,6,17,14
"AQP8",0,0,0,2,0,0
"AQP9",0,0,2,0,0,0
"AQPEP",1,2,0,0,3,1
"AQR",248,174,298,254,385,180
"AR",4,2,2,1,1,3
"ARAF",186,194,225,142,207,112
"ARAP1",14,14,35,21,26,20
"ARAP2",20,20,5,15,17,13
"ARAP3",15,9,17,5,11,5
"ARC",1,0,0,0,0,0
"ARCN1",884,569,1013,802,1378,691
"AREG",2,3,0,0,6,2
"AREL1",73,49,95,82,90,62
"ARF1",2057,1531,2707,1924,2641,1279
"ARF3",202,154,204,206,184,112
"ARF4",10594,8310,12531,16259,15517,9758
"ARF5",974,960,1802,1413,1540,1264
"ARF6",994,835,1226,1036,1291,621
"ARFGAP1",26,21,41,29,29,11
"ARFGAP2",78,58,100,72,73,53
"ARFGAP3",781,580,1214,905,1078,801
"ARFGEF1",361,273,314,355,448,288
"ARFGEF2",418,335,438,522,473,427
"ARFIP1",396,257,442,350,386,302
"ARFIP2",129,105,249,182,211,133
"ARFRP1",166,127,227,193,311,174
"ARG1",0,0,0,1,0,0
"ARG2",108,110,195,179,173,102
"ARGFX",0,0,0,0,0,0
"ARGFXP2",0,1,0,1,0,0
"ARGLU1",1267,1231,1441,1284,1543,1242
"ARHGAP1",84,56,130,92,103,69
"ARHGAP10",66,50,37,61,82,19
"ARHGAP11A",295,210,509,314,386,309
"ARHGAP11B",14,11,20,3,7,13
"ARHGAP12",534,479,396,409,472,372
"ARHGAP15",5,1,1,0,0,1
"ARHGAP17",94,113,99,97,133,61
"ARHGAP18",1054,795,1171,1107,924,741
"ARHGAP19",44,43,53,38,44,43
"ARHGAP19-SLIT1",0,0,34,0,26,0
"ARHGAP20",30,22,18,24,25,10
"ARHGAP21",672,527,899,698,898,692
"ARHGAP22",30,33,41,44,56,17
"ARHGAP23",64,56,70,46,89,47
"ARHGAP24",166,147,160,126,167,124
"ARHGAP25",0,0,3,4,0,1
"ARHGAP26",88,50,111,65,49,38
"ARHGAP26-AS1",0,0,0,0,0,0
"ARHGAP26-IT1",0,0,0,0,0,0
"ARHGAP27",1,11,2,0,13,4
"ARHGAP28",38,31,47,25,22,49
"ARHGAP29",6158,4619,5312,6349,8353,3579
"ARHGAP30",2,2,0,0,0,0
"ARHGAP31",31,15,29,26,49,13
"ARHGAP32",23,25,50,49,55,49
"ARHGAP33",5,4,4,5,7,7
"ARHGAP35",66,65,105,85,105,99
"ARHGAP36",260,231,1021,236,288,426
"ARHGAP39",4,3,3,1,7,3
"ARHGAP4",0,0,0,0,0,2
"ARHGAP40",0,1,0,0,0,0
"ARHGAP42",81,90,95,57,63,100
"ARHGAP44",3,0,0,0,0,1
"ARHGAP5",1340,1047,955,1203,1265,1035
"ARHGAP5-AS1",43,44,33,24,41,31
"ARHGAP6",64,56,69,55,39,57
"ARHGAP8",0,0,0,0,0,0
"ARHGAP9",0,0,0,0,0,0
"ARHGDIA",314,269,301,273,379,187
"ARHGDIB",51,47,126,137,124,88
"ARHGDIG",1,7,0,4,0,1
"ARHGEF1",23,17,48,38,38,21
"ARHGEF10",95,76,99,124,160,87
"ARHGEF10L",8,2,3,9,8,4
"ARHGEF11",66,53,65,67,97,63
"ARHGEF12",285,232,371,343,396,315
"ARHGEF15",0,0,0,0,0,0
"ARHGEF16",0,0,0,0,0,0
"ARHGEF17",15,19,24,28,23,31
"ARHGEF18",26,25,26,27,39,29
"ARHGEF19",0,0,0,0,0,0
"ARHGEF2",76,85,76,78,93,69
"ARHGEF25",0,1,1,0,0,0
"ARHGEF26",58,35,51,70,73,36
"ARHGEF26-AS1",1,0,0,0,0,0
"ARHGEF28",52,51,38,74,72,26
"ARHGEF3",86,74,185,61,107,122
"ARHGEF3-AS1",0,0,0,0,0,0
"ARHGEF33",0,1,0,0,0,3
"ARHGEF34P",0,0,0,0,0,0
"ARHGEF35",0,1,0,0,0,0
"ARHGEF37",3,1,10,1,5,6
"ARHGEF38",6,1,0,3,3,1
"ARHGEF38-IT1",0,0,0,0,0,0
"ARHGEF39",148,142,240,148,161,137
"ARHGEF4",1,0,1,2,0,1
"ARHGEF40",23,18,51,35,40,32
"ARHGEF5",1,3,5,2,2,3
"ARHGEF6",108,69,167,124,126,158
"ARHGEF7",136,121,205,134,223,140
"ARHGEF9",47,35,71,68,57,33
"ARID1A",198,144,254,235,284,195
"ARID1B",224,200,387,385,353,333
"ARID2",176,141,200,210,148,223
"ARID3A",12,4,3,5,10,3
"ARID3B",2,3,7,6,2,3
"ARID3C",0,0,0,0,0,0
"ARID4A",222,208,385,216,304,260
"ARID4B",630,611,536,421,597,568
"ARID5A",5,2,14,4,7,4
"ARID5B",1175,1280,1160,1289,1783,1192
"ARIH1",154,124,117,146,188,150
"ARIH2",336,360,383,327,477,207
"ARIH2OS",14,13,35,8,17,22
"ARL1",1303,1026,1485,2038,1918,1451
"ARL10",9,14,15,11,14,8
"ARL11",0,1,0,0,0,1
"ARL13A",0,0,2,1,1,0
"ARL13B",311,228,259,288,274,246
"ARL14",9,9,0,0,10,3
"ARL14EP",656,607,699,840,727,624
"ARL14EPL",6,3,0,0,6,0
"ARL15",125,92,154,130,157,119
"ARL16",315,312,579,489,548,387
"ARL17A",208,147,215,281,227,188
"ARL17B",211,168,210,247,223,184
"ARL2",770,642,815,876,1025,475
"ARL2-SNX15",0,0,0,0,0,0
"ARL2BP",1256,954,1520,1498,1613,956
"ARL3",1349,1171,2163,2375,1909,1372
"ARL4A",3507,3269,3106,4082,4809,4240
"ARL4C",504,382,406,431,544,376
"ARL4D",53,45,42,37,17,17
"ARL5A",538,527,561,609,583,357
"ARL5B",440,428,201,371,336,358
"ARL5C",0,0,0,0,0,0
"ARL6",225,150,244,270,277,218
"ARL6IP1",4655,2894,8159,3783,4642,5040
"ARL6IP4",701,691,1046,940,1020,582
"ARL6IP5",4079,3282,6148,6017,6001,4788
"ARL6IP6",1033,899,956,928,894,668
"ARL8A",92,78,89,102,130,84
"ARL8B",1352,1133,1051,1200,1321,892
"ARL9",35,22,35,18,31,20
"ARMC1",664,471,719,702,666,435
"ARMC10",981,1111,1513,1371,1564,990
"ARMC12",2,0,0,1,0,0
"ARMC2",24,26,76,35,41,56
"ARMC2-AS1",0,0,0,0,0,0
"ARMC3",0,1,0,0,0,0
"ARMC4",69,63,84,89,97,41
"ARMC4P1",0,0,0,0,0,0
"ARMC5",5,5,8,1,2,8
"ARMC6",53,35,48,39,45,18
"ARMC7",10,3,5,3,4,1
"ARMC8",761,659,764,854,999,601
"ARMC9",65,40,52,52,72,55
"ARMCX1",397,367,262,180,256,167
"ARMCX2",111,72,104,135,118,83
"ARMCX3",463,386,518,495,578,437
"ARMCX4",45,30,52,79,43,38
"ARMCX5",115,109,123,84,127,72
"ARMCX5-GPRASP2",31,28,29,32,37,40
"ARMCX6",1058,952,763,1088,1026,740
"ARMS2",0,0,1,0,0,2
"ARNT",96,79,129,109,100,72
"ARNT2",28,16,29,25,31,36
"ARNTL",49,65,72,51,71,44
"ARNTL2",357,278,301,373,539,158
"ARPC1A",4704,4341,9047,8915,9224,4930
"ARPC1B",1785,1493,2559,1751,2454,1308
"ARPC2",5949,4935,7706,9416,9695,5063
"ARPC3",7444,5736,6774,9719,8604,6295
"ARPC4",372,324,389,376,491,271
"ARPC4-TTLL3",0,7,0,13,6,0
"ARPC5",11537,9169,13806,14507,16707,8426
"ARPC5L",1127,1113,1349,1239,1300,838
"ARPP19",2104,1973,1882,2453,2602,1725
"ARPP21",0,2,0,0,0,0
"ARR3",0,0,0,0,0,0
"ARRB1",1,1,14,10,5,6
"ARRB2",27,32,58,37,30,29
"ARRDC1",45,28,45,19,41,14
"ARRDC2",12,9,13,11,13,9
"ARRDC3",1713,2024,675,1108,1914,1246
"ARRDC3-AS1",2,4,5,7,7,6
"ARRDC4",136,132,78,103,138,114
"ARRDC5",0,0,0,0,0,0
"ARSA",48,42,68,39,38,67
"ARSB",55,25,43,42,65,38
"ARSD",94,76,153,124,159,124
"ARSE",0,2,5,2,9,14
"ARSF",2,0,0,0,0,1
"ARSG",4,4,4,3,6,3
"ARSH",0,0,0,0,0,0
"ARSI",3,2,9,5,6,1
"ARSJ",424,440,420,548,649,348
"ARSK",245,182,176,133,187,118
"ART1",0,0,0,0,0,0
"ART3",0,0,1,0,0,0
"ART4",0,0,0,0,0,1
"ART5",0,0,0,0,0,0
"ARTN",5,9,13,4,5,3
"ARV1",803,604,906,968,902,798
"ARVCF",6,0,1,0,2,0
"ARX",1,0,0,0,0,0
"AS3MT",0,36,87,34,75,0
"ASAH1",1180,978,1376,1149,1451,1388
"ASAH2",8,6,7,9,5,1
"ASAH2B",264,205,96,193,211,112
"ASAP1",553,419,474,646,656,417
"ASAP1-IT1",4,3,2,5,12,7
"ASAP1-IT2",4,1,0,4,5,1
"ASAP2",211,243,293,328,359,272
"ASAP3",16,19,35,23,28,16
"ASB1",155,136,175,155,204,123
"ASB10",0,0,0,0,0,0
"ASB11",1,0,0,0,0,0
"ASB12",0,0,0,0,0,0
"ASB13",4,5,16,11,8,9
"ASB14",2,4,4,6,6,3
"ASB15",1,0,0,0,0,0
"ASB16",2,0,6,1,1,0
"ASB16-AS1",32,18,53,29,45,33
"ASB17",0,0,0,0,0,0
"ASB18",0,0,0,0,0,0
